Metric,Value
Annualized Mean Return,0.24052665232791784
Annualized Volatility,0.24973587469203118
Skewness (daily/weekly),-1.1531233405954218
Excess Kurtosis (daily/weekly),13.975321897820871
Hist VaR 95%,0.022770547997685308
Hist ES  95%,0.037846227597825785
Hist VaR 99%,0.045602988021320616
Hist ES  99%,0.06550866989632192
Normal VaR 95%,0.02492217130120605
Normal ES  95%,0.031495882362523105
Normal VaR 99%,0.03564335795637261
Normal ES  99%,0.04097436311952172
MC VaR 95%,0.024902681803387436
MC ES  95%,0.03149626816004485
MC VaR 99%,0.03555379271884571
MC ES  99%,0.04090864632147317
